Size,Chest,Shoulder,Front_Length,Sleeve_length
S,18.2,15.8,26.5,7.2
S,18.1,15.7,26.6,7.1
S,17.9,15.8,27.0,7.3
S,17.8,15.8,27.0,7.3
S,18.0,15.7,26.6,7.5
S,18.0,15.7,26.7,7.2
S,18.0,15.6,26.8,7.2
S,18.2,16.1,26.9,7.3
S,17.9,15.7,26.3,7.3
S,18.0,15.6,26.5,7.3
S,17.9,15.7,26.9,7.4
S,18.0,15.4,26.9,7.3
S,17.8,15.6,26.9,7.4
S,18.0,15.6,26.6,7.3
S,18.0,15.9,26.3,7.3
S,18.2,15.8,26.8,7.3
S,18.1,15.7,26.5,7.4
S,17.7,15.7,26.6,7.3
S,18.1,15.7,26.8,7.4
S,18.2,15.8,26.8,7.3
S,18.1,15.6,26.9,7.2
S,17.9,15.8,26.6,7.4
S,17.8,16.0,27.0,7.4
S,18.1,15.8,26.6,7.2
S,17.7,15.8,26.6,7.4
S,17.8,15.8,26.6,7.1
S,18.1,15.7,26.5,7.3
S,17.9,15.7,26.6,7.4
S,18.2,15.7,26.7,7.4
S,17.9,15.7,26.1,7.4
S,18.0,15.8,26.0,7.3
S,18.0,15.7,26.6,7.3
S,18.0,15.9,26.9,7.3
S,18.4,15.6,26.7,7.2
S,17.8,16.0,26.5,7.2
S,18.1,15.6,26.7,7.2
S,17.8,15.8,26.8,7.2
S,18.1,15.7,26.8,7.3
S,17.8,15.5,27.0,7.4
S,17.9,15.7,26.8,7.3
S,18.0,15.6,26.9,7.3
S,18.1,15.9,26.6,7.3
S,18.2,15.7,26.8,7.2
S,17.7,15.9,26.5,7.3
S,17.9,15.9,26.9,7.4
S,18.2,15.5,26.7,7.2
S,18.1,15.9,26.8,7.1
S,17.9,15.4,26.7,7.4
M,19.5,16.6,27.6,7.9
M,19.2,16.6,28.1,8.1
M,19.0,16.5,28.1,7.8
M,19.1,16.7,28.1,7.9
M,19.3,16.5,28.1,8.0
M,19.1,16.5,27.6,8.0
M,19.2,16.8,27.6,8.1
M,19.3,16.9,28.1,8.1
M,19.1,16.7,28.0,7.8
M,19.3,16.9,27.6,7.5
M,19.0,16.7,27.5,7.9
M,19.3,16.7,27.5,7.9
M,19.5,16.8,28.1,7.8
M,19.2,16.7,28.0,7.7
M,19.1,16.9,27.6,7.8
M,19.4,16.6,27.9,7.7
M,19.2,16.7,28.3,7.8
M,19.3,16.8,27.7,8.0
M,18.9,16.7,27.5,7.9
M,19.1,16.9,27.8,7.7
M,18.9,16.8,27.8,7.9
M,19.6,16.7,27.8,7.8
M,19.1,16.3,27.8,8.0
M,19.2,16.6,27.9,8.0
M,19.3,16.5,27.5,8.0
M,19.4,16.5,28.4,8.0
M,18.9,16.8,27.8,7.8
M,19.2,16.8,28.2,8.0
M,19.4,16.8,27.9,7.9
M,19.2,16.4,27.7,8.2
M,19.2,16.8,27.9,8.1
M,19.0,16.9,27.7,7.9
M,19.5,16.7,27.9,7.8
M,19.3,16.3,27.3,7.9
M,19.4,16.6,28.1,7.9
M,19.1,16.8,27.9,7.9
M,19.1,16.7,28.1,8.0
M,19.5,16.5,28.2,7.9
M,19.2,16.4,28.1,8.0
M,19.4,16.8,27.8,8.1
M,19.2,16.7,28.3,7.9
M,19.2,16.9,27.8,8.0
M,19.3,16.8,27.7,8.0
M,19.3,16.6,27.9,8.1
M,19.2,16.7,28.0,8.0
M,19.2,17.0,27.9,8.1
M,19.2,17.0,27.6,7.9
M,18.8,16.7,28.1,7.8
M,19.2,16.9,27.7,7.9
M,19.2,16.5,27.9,7.9
M,19.4,16.6,27.7,7.8
M,19.3,16.7,27.6,7.9
M,19.2,16.6,27.8,7.9
M,19.2,16.8,27.6,8.1
M,19.2,16.5,27.7,8.0
M,19.2,17.0,28.0,7.8
M,19.2,16.4,28.0,7.8
M,19.2,16.4,28.1,8.0
M,18.9,16.9,27.5,8.2
M,19.0,17.0,28.2,8.1
M,19.1,16.9,27.8,7.9
M,19.1,16.7,27.5,7.9
M,19.1,17.0,27.5,8.0
M,18.9,16.7,27.8,7.9
M,19.3,16.7,27.9,8.2
M,19.2,16.4,27.8,8.1
M,18.9,16.7,27.7,7.9
M,19.5,16.9,27.9,7.8
M,19.0,16.6,27.5,8.1
M,19.0,16.8,27.8,7.8
M,19.2,16.6,28.1,7.9
M,19.6,17.0,27.8,8.1
M,19.1,16.6,27.2,7.8
M,19.3,16.8,27.7,8.0
M,19.1,16.7,27.8,7.8
M,19.4,16.7,27.8,7.9
M,19.1,16.8,27.7,8.0
M,19.1,16.5,28.4,8.0
M,19.3,16.5,27.9,8.2
M,19.2,16.6,27.8,7.9
M,19.4,16.8,28.1,7.9
M,19.2,16.4,28.0,7.8
M,19.0,16.4,27.9,7.9
M,19.2,16.6,27.6,8.0
M,19.2,16.7,28.1,8.0
M,19.3,16.6,28.1,7.7
M,19.5,16.7,27.7,7.9
M,19.6,16.6,28.1,8.1
M,19.2,16.4,28.0,7.8
M,19.1,16.7,27.7,7.9
M,19.3,16.6,28.1,8.1
M,19.4,16.7,27.9,7.9
M,19.3,16.9,27.5,7.9
M,19.1,16.8,28.2,7.9
M,19.2,16.7,27.7,8.3
M,19.3,16.6,27.6,7.8
M,19.1,16.8,28.0,7.9
M,19.2,16.4,27.9,7.9
M,19.0,16.6,28.2,7.7
M,19.0,17.0,27.8,7.8
M,19.3,16.9,28.0,8.0
M,19.3,16.6,27.9,8.1
M,18.9,16.6,28.1,7.8
M,19.4,16.6,28.2,7.9
M,19.1,16.9,27.7,8.0
M,19.0,16.6,27.7,8.1
M,19.2,16.8,28.1,8.0
M,19.2,16.8,27.6,7.7
M,19.0,16.8,27.8,7.9
M,19.1,16.4,27.8,7.8
M,19.4,16.9,28.5,8.0
M,19.1,16.8,28.0,8.2
M,19.2,16.9,28.4,8.0
M,19.4,16.6,27.9,8.0
M,19.4,16.6,28.2,8.0
M,19.2,16.8,27.3,8.0
M,19.1,16.7,28.1,7.8
M,19.0,16.6,27.6,8.2
M,19.5,16.6,27.8,7.8
M,19.1,16.7,27.5,8.0
M,19.4,16.7,27.8,8.0
M,19.2,16.6,27.7,8.0
M,19.2,16.7,27.9,7.8
M,19.1,16.7,28.0,8.0
M,19.2,16.7,27.7,7.9
M,19.1,16.6,27.8,7.8
M,19.0,16.7,27.8,7.6
M,19.2,17.0,27.8,7.7
M,19.2,16.7,27.7,7.9
M,19.1,16.7,27.5,7.9
M,19.4,16.7,28.0,8.0
M,19.2,16.7,28.0,8.0
M,18.9,17.0,27.3,8.1
L,20.1,17.7,29.1,8.4
L,20.1,17.7,29.3,8.7
L,20.4,17.7,28.8,8.3
L,20.3,17.5,29.0,8.3
L,19.9,17.6,28.9,8.4
L,20.0,17.9,28.6,8.5
L,20.1,17.8,28.7,8.5
L,20.2,17.6,28.2,8.3
L,20.4,17.7,29.2,8.3
L,20.2,17.5,28.8,8.4
L,20.2,17.8,28.7,8.5
L,20.1,17.7,28.7,8.4
L,20.2,18.0,28.9,8.3
L,19.9,17.7,29.0,8.5
L,20.4,17.6,29.0,8.6
L,20.4,17.8,29.0,8.5
L,20.1,17.8,28.6,8.2
L,20.4,17.6,29.2,8.4
L,20.4,17.8,28.9,8.4
L,20.0,17.6,29.1,8.2
L,20.2,17.6,28.6,8.5
L,20.1,17.8,28.6,8.4
L,20.3,17.8,28.7,8.4
L,20.3,17.6,28.9,8.4
L,20.3,17.8,28.8,8.5
L,20.2,17.5,28.9,8.4
L,20.4,17.5,28.7,8.3
L,20.1,17.9,28.8,8.4
L,20.2,17.8,28.7,8.4
L,20.3,17.7,28.8,8.7
L,20.2,17.5,28.8,8.5
L,20.2,17.4,28.8,8.5
L,20.2,17.6,28.9,8.4
L,20.5,17.7,29.0,8.4
L,20.3,17.6,29.0,8.5
L,19.9,17.7,28.4,8.4
L,20.2,17.7,28.7,8.6
L,20.1,17.7,29.0,8.4
L,20.0,17.5,29.1,8.3
L,20.0,17.7,28.9,8.3
L,20.1,17.5,28.9,8.4
L,19.9,17.2,29.0,8.4
L,20.4,17.6,29.1,8.5
L,20.1,17.9,29.0,8.5
L,20.4,17.8,29.0,8.7
L,20.4,17.6,28.8,8.5
L,19.9,17.6,28.9,8.6
L,20.3,17.8,28.9,8.4
L,20.2,17.6,28.5,8.3
L,20.2,17.7,29.2,8.5
L,20.5,18.0,28.7,8.5
L,20.0,18.0,28.9,8.4
L,20.0,17.9,29.1,8.3
L,20.2,17.9,28.9,8.6
L,20.3,18.0,29.2,8.4
L,20.2,17.7,28.5,8.7
L,20.1,17.6,28.3,8.4
L,20.2,17.8,28.6,8.5
L,20.0,17.6,28.7,8.4
L,20.1,18.2,28.2,8.3
L,20.3,17.7,29.0,8.5
L,20.4,17.7,29.0,8.2
L,20.3,17.7,28.7,8.5
L,20.2,17.5,29.2,8.4
L,20.2,17.4,29.1,8.5
L,20.4,17.8,29.0,8.3
L,20.3,17.5,28.7,8.6
L,20.2,17.6,28.6,8.5
L,20.3,17.7,29.1,8.4
L,20.3,17.8,28.4,8.3
L,20.3,17.8,28.8,8.2
L,20.2,17.8,28.7,8.7
L,20.1,17.7,28.8,8.4
L,20.3,17.6,28.3,8.5
L,20.4,17.6,28.6,8.6
L,20.2,17.7,28.1,8.2
L,20.1,18.0,29.1,8.5
L,20.1,17.7,28.7,8.5
L,20.2,17.6,28.6,8.4
L,20.2,17.6,28.7,8.6
L,20.1,17.6,29.0,8.3
L,20.2,17.8,28.4,8.3
L,20.3,17.9,28.9,8.5
L,20.1,17.7,28.9,8.5
L,20.2,17.7,28.4,8.3
L,20.5,17.7,29.0,8.5
L,20.0,17.6,28.4,8.5
L,20.2,17.8,29.1,8.4
L,20.4,17.5,28.6,8.2
L,20.3,17.6,28.8,8.1
L,20.0,17.5,29.3,8.5
L,20.3,17.7,28.8,8.2
L,20.2,17.5,28.6,8.3
L,20.1,17.7,28.7,8.3
L,20.1,17.7,29.0,8.7
L,20.4,17.7,29.0,8.5
L,19.9,17.9,28.7,8.4
L,20.1,17.5,28.1,8.4
L,20.2,17.8,28.5,8.4
L,19.9,17.8,28.8,8.5
L,20.3,17.7,28.7,8.6
L,20.4,18.0,29.0,8.3
L,20.2,17.6,28.4,8.4
L,20.0,17.9,28.7,8.4
L,20.3,17.7,28.8,8.2
L,20.4,17.9,28.8,8.3
L,20.2,17.6,29.2,8.2
L,20.3,17.4,28.8,8.3
L,20.5,17.5,28.7,8.6
L,20.2,17.9,28.9,8.4
L,20.3,17.5,29.0,8.2
L,20.2,17.7,28.8,8.4
L,20.3,17.7,28.8,8.3
L,20.3,17.8,28.5,8.3
L,20.1,17.8,28.7,8.6
L,20.3,17.6,28.9,8.4
L,20.3,17.7,28.8,8.1
L,20.4,17.7,28.7,8.3
L,20.0,17.6,28.9,8.2
L,20.3,17.8,29.0,8.5
L,20.3,17.8,28.4,8.2
L,20.5,17.8,29.0,8.4
L,20.3,17.9,29.0,8.5
L,20.4,17.7,28.6,8.4
L,20.1,17.8,28.6,8.6
L,20.4,17.6,28.6,8.4
L,20.0,17.6,28.5,8.6
L,20.0,17.6,28.9,8.4
L,20.5,17.5,28.8,8.4
L,20.0,17.7,28.7,8.3
L,20.1,17.8,28.9,8.3
L,19.8,18.0,29.0,8.3
L,19.9,17.7,28.2,8.4
XL,21.1,18.8,30.3,9.0
XL,21.2,18.3,30.1,8.9
XL,21.1,18.7,29.8,9.0
XL,21.2,18.7,29.6,9.2
XL,21.3,18.7,30.0,9.1
XL,21.4,18.8,30.2,8.8
XL,21.1,18.9,29.4,9.0
XL,21.1,18.7,29.8,9.3
XL,21.3,18.8,29.5,9.0
XL,21.3,18.7,29.5,8.8
XL,21.2,18.9,29.8,8.8
XL,21.0,18.7,30.1,8.9
XL,21.3,18.7,29.7,8.9
XL,21.0,18.6,29.8,8.8
XL,21.5,18.5,30.3,9.0
XL,21.0,18.9,29.8,9.0
XL,21.1,18.7,29.3,8.9
XL,21.1,19.0,29.9,8.8
XL,21.3,18.9,29.6,8.7
XL,21.2,19.0,29.9,8.8
XL,21.1,18.6,29.4,8.9
XL,21.5,18.5,30.0,8.9
XL,20.9,18.8,29.9,8.9
XL,21.3,18.6,29.8,8.7
XL,21.4,18.6,29.9,8.9
XL,21.2,18.7,29.8,8.8
XL,21.3,18.8,29.8,8.9
XL,21.2,19.0,29.7,8.8
XL,21.1,18.9,29.2,9.1
XL,21.2,18.7,30.1,9.0
XL,21.3,18.8,29.9,8.8
XL,21.1,18.6,30.0,9.0
XL,21.3,18.9,29.9,9.0
XL,21.3,18.9,29.5,8.9
XL,21.3,18.9,29.7,8.8
XL,21.5,18.8,29.4,8.8
XL,21.0,19.0,29.9,8.8
XL,21.5,18.9,29.8,9.0
XL,21.3,18.8,29.7,8.8
XL,21.3,19.0,30.2,9.0
XL,20.9,19.0,29.9,9.0
XL,21.3,18.5,30.1,9.0
XL,21.1,18.7,29.8,8.9
XL,21.3,18.7,29.7,8.7
XL,21.1,18.9,30.0,9.2
XL,21.4,18.8,29.7,8.9
XL,21.2,18.7,29.8,9.0
XL,20.9,18.8,29.6,9.0
XL,21.1,18.8,30.6,9.0
XL,21.5,18.6,29.7,8.9
XL,21.1,18.5,29.4,8.7
XL,21.0,18.5,29.9,8.5
XL,21.5,18.9,29.5,8.9
XL,21.1,18.7,30.2,9.2
XL,21.3,18.6,29.4,8.9
XL,20.9,19.0,29.6,8.7
XL,21.2,18.5,29.6,9.1
XL,21.3,18.6,30.1,9.1
XL,21.3,18.6,29.4,9.0
XL,21.2,18.5,29.5,9.0
XL,21.2,18.7,29.9,9.1
XL,21.0,18.7,30.1,8.9
XL,21.2,19.0,30.2,8.9
XL,21.1,19.0,30.0,9.0
XL,21.2,18.3,30.1,8.9
XL,21.1,18.8,30.1,9.0
XL,21.2,18.7,29.8,9.0
XL,21.4,18.5,29.8,8.9
XL,21.1,18.7,30.1,8.9
XL,21.3,18.7,29.6,8.8
XL,21.0,18.9,29.8,8.8
XL,21.5,18.6,29.8,9.2
XL,21.4,18.7,29.7,9.1
XL,21.3,18.9,29.7,9.1
XL,21.0,18.7,29.9,9.1
XL,21.0,18.4,29.8,9.0
XL,21.2,18.5,30.0,9.0
XL,21.1,18.5,29.8,9.2
XL,21.3,18.6,29.8,8.9
XL,21.1,18.6,29.6,9.1
XL,21.3,18.8,29.8,9.1
XL,21.2,18.7,29.8,9.1
XL,21.0,18.6,29.8,9.2
XL,21.4,18.8,30.3,9.1
XL,21.1,18.6,30.0,8.9
XL,21.0,19.0,30.0,8.9
XL,21.0,18.6,29.7,9.0
XL,21.2,18.7,29.8,9.2
XL,20.9,19.0,30.2,9.0
XL,21.0,18.6,29.6,8.6
XL,20.8,19.0,30.0,8.6
XL,21.0,18.5,30.0,9.0
XL,21.4,18.5,30.1,8.9
XL,21.1,18.5,29.4,9.1
XL,21.1,18.7,29.8,9.1
XL,21.0,18.8,29.8,8.7
XL,21.2,18.8,29.8,8.9
XL,21.0,18.8,29.9,8.7
XL,20.9,18.4,29.9,9.1
XL,21.2,18.5,29.9,9.0
XL,21.3,18.7,29.7,9.0
XL,21.2,18.8,30.4,8.9
XL,21.5,18.6,30.2,8.8
XL,21.3,18.7,29.5,8.9
XL,21.3,18.7,30.2,9.2
XL,21.1,18.9,29.7,8.7
XL,21.5,18.8,29.6,8.8
XL,21.2,18.8,29.9,9.0
XL,21.1,18.6,29.8,9.0
XL,20.9,18.4,29.7,9.0
XL,21.0,18.7,29.7,8.9
XL,21.1,18.8,30.0,9.0
XL,21.4,18.7,29.9,8.8
XL,21.0,18.7,29.6,8.8
XL,21.5,18.8,29.5,8.9
XL,21.2,18.7,30.0,8.9
XL,21.2,19.1,30.2,8.9
XL,21.2,18.7,29.6,9.1
XL,21.1,18.7,29.6,8.9
XL,21.1,18.6,29.7,9.0
XL,21.1,18.9,30.0,8.7
XL,21.3,18.5,29.5,8.8
XL,21.0,18.5,30.4,9.0
XL,21.3,18.8,30.1,8.9
XL,21.3,18.9,29.8,8.8
XL,21.3,18.7,29.8,9.0
XL,21.4,18.6,30.5,9.0
XL,21.1,18.8,29.7,9.1
XL,21.1,18.4,30.1,8.6
XL,21.1,18.7,29.9,9.0
XL,21.1,18.6,29.6,9.1
XL,21.5,18.9,29.5,8.9
XL,21.0,18.8,29.4,8.8
XXL,22.1,19.6,30.7,9.4
XXL,22.3,19.5,31.2,9.3
XXL,22.2,19.8,30.8,9.3
XXL,22.3,19.7,31.0,9.3
XXL,22.2,19.8,30.9,9.3
XXL,22.3,19.6,30.5,9.2
XXL,22.1,19.7,30.5,9.5
XXL,22.1,20.0,30.7,9.3
XXL,22.2,19.8,30.8,9.5
XXL,22.0,19.6,30.7,9.4
XXL,22.3,19.8,30.9,9.5
XXL,22.3,19.7,30.8,9.3
XXL,22.1,19.6,30.8,9.3
XXL,22.4,19.5,31.2,9.4
XXL,22.1,19.7,31.1,9.5
XXL,22.2,19.7,30.8,9.3
XXL,22.2,20.0,30.6,9.5
XXL,22.2,20.0,30.5,9.7
XXL,22.2,19.7,31.2,9.2
XXL,22.3,19.6,30.8,9.5
XXL,22.2,19.9,30.9,9.6
XXL,22.1,19.6,31.1,9.2
XXL,22.2,19.7,31.2,9.2
XXL,22.5,19.5,31.1,9.5
XXL,22.0,19.7,31.1,9.6
XXL,22.1,19.9,31.1,9.5
XXL,22.4,19.7,30.9,9.3
XXL,22.2,20.0,31.1,9.5
XXL,21.9,19.8,30.8,9.5
XXL,22.0,19.9,30.9,9.6
XXL,22.2,19.7,31.2,9.5
XXL,22.4,19.8,30.9,9.5
XXL,22.1,19.6,30.9,9.5
XXL,22.2,19.6,30.5,9.3
XXL,22.3,19.5,31.2,9.3
XXL,22.1,19.7,31.2,9.4
XXL,22.1,19.7,30.9,9.7
XXL,22.0,19.9,31.0,9.3
XXL,22.0,19.9,30.9,9.4
XXL,22.1,19.9,31.0,9.3
XXL,22.0,19.8,30.7,9.4
XXL,21.9,19.6,30.6,9.4
XXL,22.5,19.8,30.9,9.4
XXL,22.2,19.7,30.8,9.5
XXL,22.0,19.5,30.7,9.5
XXL,22.2,19.6,30.3,9.2
XXL,22.4,19.9,30.7,9.5
XXL,22.2,19.6,30.9,9.4
XXL,22.5,19.8,30.9,9.4
XXL,22.2,19.7,30.6,9.4
XXL,22.2,19.6,31.3,9.4
XXL,22.2,19.4,31.1,9.6
XXL,22.2,19.9,30.8,9.5
XXL,22.2,19.5,30.8,9.6
XXL,22.4,19.5,30.6,9.4
XXL,22.5,19.8,30.9,9.4
XXL,22.2,19.6,31.2,9.3
XXL,22.1,19.7,30.8,9.7
XXL,22.2,19.7,31.0,9.5
XXL,22.2,19.7,30.9,9.3
XXL,22.4,20.0,30.9,9.6
XXL,22.4,19.8,30.9,9.6
XXL,22.1,19.9,31.0,9.3
XXL,22.2,19.5,30.8,9.4
XXL,22.2,19.7,30.4,9.5
XXL,22.4,19.8,31.1,9.3
XXL,22.1,19.6,30.9,9.3
XXL,22.3,19.9,30.6,9.4
XXL,22.1,19.8,30.4,9.6
XXL,22.2,19.7,31.0,9.3
XXL,22.0,19.8,30.9,9.4
XXL,22.1,19.5,30.6,9.5
XXL,22.4,19.5,30.7,9.5
XXL,22.2,19.7,31.4,9.6
XXL,22.4,19.7,30.7,9.5
XXL,22.0,19.7,31.0,9.3
XXL,21.9,20.1,30.8,9.3
XXL,22.1,19.7,30.7,9.4
XXL,22.3,19.6,31.2,9.4
XXL,22.2,19.9,30.9,9.5
XXL,22.5,19.6,30.8,9.2
XXL,22.1,19.6,30.9,9.5
XXL,22.2,19.8,30.8,9.5
XXL,22.1,19.8,30.7,9.4
XXL,22.0,19.7,31.5,9.5
